"lat","long","coordinate.precision","DriverGroup","primary.citation.key","primary.citation.doi"
-21.625,32.875,"other","biotic disturbance","tafangenyasha_decline_2001","https://doi.org/10.1006/jema.2001.0458"
23.166136,112.544167,"second","heat and drought","zhou_climate_2013","https://doi.org/10.1111/gcb.12128"
-32.01201409,116.1775415,"decimal degrees to 7 digits","heat and drought","brouwers_landscapescale_2013","https://doi.org/10.1007/s10980-012-9815-3"
-33.10979341,115.9756876,"decimal degrees to 7 digits","heat and drought","brouwers_landscapescale_2013","https://doi.org/10.1007/s10980-012-9815-3"
-26.355,144.58,"decimal degrees to 2 digits","heat and drought","fensham_potential_2012","https://doi.org/10.1890/11-1123.1"
54.500662,88.850536,"other","heat and drought","kharuk_siberian_2013","https://doi.org/10.1016/j.foreco.2013.08.042"
-35.655722,148.152083,"decimal degrees to 6 digits","heat and drought","keith_dynamics_2012","https://doi.org/10.1016/j.agrformet.2011.07.019"
-32.281404,115.790287,"decimal degrees to 6 digits","heat and drought","matusick_drought_2012","https://doi.org/10.4236/ojf.2012.24022"
34.01706051,-119.8300197,"decimal degrees to 7 digits","heat and drought","baguskas_evaluating_2014","https://doi.org/10.1016/j.foreco.2013.12.020"
39.05762567,-107.9783111,"","biotic disturbance","hart_drought_2014","https://doi.org/10.1890/13-0230.1"
40.36282241,-105.8214077,"","biotic disturbance","hart_drought_2014","https://doi.org/10.1890/13-0230.1"
40.4212651,-105.8058982,"","biotic disturbance","hart_drought_2014","https://doi.org/10.1890/13-0230.1"
40.19924859,-105.6324419,"","biotic disturbance","hart_drought_2014","https://doi.org/10.1890/13-0230.1"
36.721944,-4.965,"decimal degrees to 3 digits","heat and drought","linares_interacting_2009","https://doi.org/10.1111/j.1466-8238.2009.00465.x"
36.710556,-4.983611,"decimal degrees to 6 digits","heat and drought","linares_interacting_2009","https://doi.org/10.1111/j.1466-8238.2009.00465.x"
35.2,-112.2,"decimal degrees to 1 digit","heat and drought","kane_standscale_2014","https://doi.org/10.1016/j.foreco.2014.06.042"
35.333333,-111.683333,"decimal degrees to 6 digits","heat and drought","kane_standscale_2014","https://doi.org/10.1016/j.foreco.2014.06.042"
35.333333,-112,"decimal degrees to 0 digits","heat and drought","kane_standscale_2014","https://doi.org/10.1016/j.foreco.2014.06.042"
42.37861,1.108056,"decimal degrees to 5 digits","heat and drought","galiano_droughtinduced_2010","https://doi.org/10.1007/s10021-010-9368-8"
63.00852,44.17304,"","heat and drought","aakala_tree_2011","https://doi.org/10.1111/j.1654-1103.2010.01253.x"
63.00223,44.18475,"","heat and drought","aakala_tree_2011","https://doi.org/10.1111/j.1654-1103.2010.01253.x"
62.98189,44.16043,"","heat and drought","aakala_tree_2011","https://doi.org/10.1111/j.1654-1103.2010.01253.x"
62.98066,44.16685,"","heat and drought","aakala_tree_2011","https://doi.org/10.1111/j.1654-1103.2010.01253.x"
63.00997,44.14092,"","heat and drought","aakala_tree_2011","https://doi.org/10.1111/j.1654-1103.2010.01253.x"
38.157567,-2.736551,"decimal degree to six digits","logging & forestry","linares_tree_2012","https://www.researchgate.net/publication/257294898_Tree_growth_decline_on_relict_Western-Mediterranean_mountain_forests_Causes_and_impacts"
33.563306,-5.237089,"decimal degree to six digits","logging & forestry","linares_tree_2012","https://www.researchgate.net/publication/257294898_Tree_growth_decline_on_relict_Western-Mediterranean_mountain_forests_Causes_and_impacts"
37.766667,20.683333,"decimal degree to 6 digits","heat and drought","sarris_impact_2011","https://doi.org/10.1007/s10584-010-9901-y"
38.85,24.5,"decimal degree to 2 digits","heat and drought","sarris_impact_2011","https://doi.org/10.1007/s10584-010-9901-y"
35.05,25.866667,"decimal degree to two digits","heat and drought","sarris_impact_2011","https://doi.org/10.1007/s10584-010-9901-y"
38.738611,-92.2,"decimal degrees to one digit","heat and drought","gu_predictors_2015","https://doi.org/10.5194/bgd-12-1285-2015"
46.34063,12.97505,"","biotic disturbance","marini_climate_2012","https://doi.org/10.1007/s10584-012-0463-z"
44.1851515,5.2347547,"decimal degrees to seven places","heat and drought","cailleret_droughtinduced_2014","https://doi.org/10.1007/s13595-013-0265-0"
44.1842178,5.2433572,"decimal degrees to seven places","heat and drought","cailleret_droughtinduced_2014","https://doi.org/10.1007/s13595-013-0265-0"
44.1843392,5.243668,"decimal degrees to six places","heat and drought","cailleret_droughtinduced_2014","https://doi.org/10.1007/s13595-013-0265-0"
44.1843319,5.2441451,"decimal degrees to seven places","heat and drought","cailleret_droughtinduced_2014","https://doi.org/10.1007/s13595-013-0265-0"
